Zone,Time,Station,Temp
MTZ138,2021-08-02 03:53:00,KSHR,Not given
MTZ138,2021-08-02 03:48:00,BRTM8,15.556
MTZ138,2021-08-02 03:29:00,HBOM8,27.222
MTZ138,2021-08-02 03:18:00,PMRM8,22.222
MTZ138,2021-08-02 03:18:00,WWMM8,24.444
MTZ138,2021-08-02 02:29:00,HBOM8,30
MTZ138,2021-08-02 02:18:00,WWMM8,26.66702
MTZ138,2021-08-02 01:53:00,KSHR,28.3
MTZ138,2021-08-02 01:18:00,PMRM8,23.889
MTZ138,2021-08-02 01:18:00,WWMM8,28.889
MTZ138,2021-08-02 00:48:00,BRTM8,21.66702
MTZ138,2021-08-02 00:18:00,PMRM8,23.889
MTZ138,2021-08-02 00:18:00,WWMM8,28.889
MTZ138,2021-08-01 23:29:00,HBOM8,33.889
MTZ138,2021-08-01 23:18:00,PMRM8,26.111
MTZ138,2021-08-01 23:18:00,WWMM8,31.111
MTZ138,2021-08-01 22:48:00,BRTM8,23.333
MTZ138,2021-08-01 22:29:00,HBOM8,33.889
MTZ138,2021-08-01 22:18:00,WWMM8,31.111
MTZ138,2021-08-01 21:59:00,LBHM8,35.556
MTZ138,2021-08-01 21:53:00,KSHR,33.9
MTZ138,2021-08-01 21:48:00,BRTM8,24.444
MTZ138,2021-08-01 21:18:00,PMRM8,26.111
MTZ138,2021-08-01 21:18:00,WWMM8,31.111
MTZ138,2021-08-01 20:53:00,KSHR,32.8
MTZ138,2021-08-01 20:18:00,PMRM8,26.66702
MTZ138,2021-08-01 20:18:00,WWMM8,30.556
MTZ138,2021-07-30 06:48:00,BRTM8,14.444
MTZ138,2021-07-30 06:29:00,HBOM8,20.556
MTZ138,2021-07-30 06:18:00,PMRM8,18.333
MTZ138,2021-07-30 06:18:00,WWMM8,19.444
MTZ138,2021-07-30 05:59:00,LBHM8,23.889
MTZ138,2021-07-30 05:53:00,KSHR,19.4
MTZ138,2021-07-30 05:48:00,BRTM8,14.444
MTZ138,2021-07-30 05:29:00,HBOM8,21.111
MTZ138,2021-07-30 05:18:00,PMRM8,18.889
MTZ138,2021-07-30 05:18:00,WWMM8,20
MTZ138,2021-07-30 04:59:00,LBHM8,24.444
MTZ138,2021-07-30 04:53:00,KSHR,20.6
MTZ138,2021-07-30 04:48:00,BRTM8,14.444
MTZ138,2021-07-30 04:29:00,HBOM8,21.66702
MTZ138,2021-07-30 04:18:00,PMRM8,20
MTZ138,2021-07-30 04:18:00,WWMM8,20.556
MTZ138,2021-07-30 04:01:00,KSHR,21.1
MTZ138,2021-07-30 03:59:00,LBHM8,23.889
MTZ138,2021-07-30 03:53:00,KSHR,21.1
MTZ138,2021-07-30 03:48:00,BRTM8,14.444
MTZ138,2021-07-30 03:34:00,KSHR,21.1
MTZ138,2021-07-30 03:29:00,HBOM8,21.66702
MTZ138,2021-07-30 03:18:00,PMRM8,18.889
MTZ138,2021-07-30 03:18:00,WWMM8,21.66702
MTZ138,2021-07-30 02:59:00,LBHM8,25.556
MTZ138,2021-07-30 02:53:00,KSHR,21.7
MTZ138,2021-07-30 02:48:00,BRTM8,13.889
MTZ138,2021-07-30 02:29:00,HBOM8,21.66702
MTZ138,2021-07-30 02:18:00,PMRM8,18.889
MTZ138,2021-07-30 02:18:00,WWMM8,22.222
MTZ138,2021-07-30 01:59:00,LBHM8,27.778
MTZ138,2021-07-30 01:53:00,KSHR,22.2
MTZ138,2021-07-30 01:48:00,BRTM8,13.333
MTZ138,2021-07-30 01:29:00,HBOM8,23.333
MTZ138,2021-07-30 01:18:00,PMRM8,18.889
MTZ138,2021-07-30 01:18:00,WWMM8,23.333
MTZ138,2021-07-30 01:04:00,KSHR,23.3
MTZ138,2021-07-30 00:59:00,LBHM8,28.889
MTZ138,2021-07-30 00:53:00,KSHR,23.9
MTZ138,2021-07-30 00:49:00,KSHR,24
MTZ138,2021-07-30 00:48:00,BRTM8,12.778
MTZ138,2021-07-30 00:41:00,KSHR,24.4
MTZ138,2021-07-30 00:29:00,HBOM8,25.556
MTZ138,2021-07-30 00:18:00,PMRM8,17.778
MTZ138,2021-07-30 00:18:00,WWMM8,23.889
MTZ138,2021-07-29 23:59:00,LBHM8,30
MTZ138,2021-07-29 23:53:00,KSHR,26.7
MTZ138,2021-07-29 23:48:00,BRTM8,17.222
MTZ138,2021-07-29 23:29:00,HBOM8,28.889
MTZ138,2021-07-29 23:18:00,PMRM8,17.778
MTZ138,2021-07-29 23:18:00,WWMM8,24.444
MTZ138,2021-07-29 22:59:00,LBHM8,31.66702
MTZ138,2021-07-29 22:53:00,KSHR,26.7
MTZ138,2021-07-29 22:48:00,BRTM8,18.889
MTZ138,2021-07-29 22:29:00,HBOM8,32.222
MTZ138,2021-07-29 22:18:00,PMRM8,22.778
MTZ138,2021-07-29 22:18:00,WWMM8,24.444
